instance,benchmark_name,tw_range,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solved,solver_config
count,,,count_nonzero,sum,amax,mean,amin,amax,std,sum,
38,pace2016,"(0, 25]",4,9,5,15.5832815789,4.105,195.521,31.8931573045,38.0,jdrasil-b150-n1
37,pace2016,"(0, 25]",3,4,2,3.34786756757,1.4371,13.3839,2.62435935866,37.0,tcs-b50-n1
13,pace2016,"(25, 50]",4,11,6,372.396184615,6.0725,4062.01,1114.00008022,13.0,tcs-b100-n1
14,pace2016,"(25, 50]",4,7,3,132.182357143,6.4197,1284.7,339.027859205,14.0,tcs-b150-n1
14,pace2016,"(25, 50]",4,7,3,189.373164286,6.3641,1307.01,406.245406673,14.0,tcs-b125-n1
17,pace2016,"(25, 50]",4,7,3,327.699076471,8.3717,3389.54,913.456275187,17.0,jdrasil-b100-n1
16,pace2016,"(25, 50]",4,7,3,522.48030625,6.4636,4371.25,1382.6972942,16.0,jdrasil-b75t1800-n1
16,pace2016,"(25, 50]",3,6,4,22.2964,7.191,166.525,38.8042347351,16.0,jdrasil-b75-n1
13,pace2016,"(25, 50]",4,6,3,48.7505538462,5.6583,243.495,77.0405713264,13.0,tcs-b75-n1
18,pace2016,"(25, 50]",2,4,2,3.12562222222,1.7695,7.7412,1.52414480768,18.0,htd-b150-n1
18,pace2016,"(25, 50]",2,4,2,3.24713333333,1.9059,7.7458,1.51559830624,18.0,htd-b100-n1
15,pace2016,"(25, 50]",3,4,2,19.2859133333,7.4525,57.5004,15.6327803204,15.0,jdrasil-b150-n1
15,pace2016,"(25, 50]",3,4,2,19.5033666667,6.0818,62.9706,16.3626896609,15.0,jdrasil-b125-n1
15,pace2016,"(25, 50]",1,3,3,25.3788666667,6.4015,245.99,61.1730634591,15.0,tcs-b50-n1
6,pace2016,"(50, 75]",4,18,11,1186.69758333,12.2255,6869.37,2784.27121645,6.0,tcs-b150-n1
7,pace2016,"(50, 75]",5,16,10,59.2751857143,12.6484,196.602,63.9681621692,7.0,jdrasil-b100-n1
7,pace2016,"(50, 75]",5,16,10,66.9877857143,17.54,211.878,67.6240113658,7.0,jdrasil-b75t1800-n1
7,pace2016,"(50, 75]",5,16,10,67.3000571429,14.1512,142.813,53.9324914111,7.0,jdrasil-b125-n1
6,pace2016,"(50, 75]",4,15,11,65.9778666667,19.5858,146.376,45.9212843549,6.0,jdrasil-b150-n1
7,pace2016,"(50, 75]",4,8,5,423.264514286,12.6927,2712.83,1010.40355416,7.0,tcs-b100-n1
7,pace2016,"(50, 75]",4,8,5,1021.36495714,12.4817,6787.11,2542.82089875,7.0,tcs-b125-n1
8,pace2016,"(50, 75]",1,2,2,4.894875,2.8096,7.1628,1.40510223395,8.0,htd-b150-n1
4,pace2016,"(75, 100]",3,17,10,1548.651675,33.555,6080.71,3021.37820725,4.0,tcs-b150-n1
4,pace2016,"(75, 100]",3,14,7,708.0667,32.3108,2716.87,1339.21957401,4.0,tcs-b125-n1
3,pace2016,"(75, 100]",2,8,5,101.961333333,41.8174,169.5,64.1616953212,3.0,jdrasil-b150-n1
4,pace2016,"(75, 100]",1,4,4,35.835775,29.028,42.9336,6.21036552353,4.0,tcs-b100-n1
4,pace2016,"(75, 100]",2,3,2,6.3563,3.4834,11.5157,3.69696994578,4.0,htd-b150-n1
2,pace2016,"(75, 100]",1,3,3,64.6289,41.4028,87.855,32.846665621,2.0,jdrasil-b125-n1
5,pace2016,"(75, 100]",1,1,1,6.36642,3.5406,10.9594,2.97980091986,5.0,htd-b100-n1
5,pace2016,"(75, 100]",1,1,1,16.18886,13.8078,20.5422,2.68382001036,5.0,jdrasil-b50-n1
5,pace2016,"(75, 100]",1,1,1,16.99146,14.0785,21.3416,2.82392022161,5.0,jdrasil-b25-n1
5,pace2016,"(75, 100]",1,1,1,18.31742,13.739,23.5116,3.88741550931,5.0,jdrasil-b75-n1
5,pace2016,"(75, 100]",1,1,1,32.44634,27.6141,40.3979,5.03065536019,5.0,tcs-b50-n1
5,pace2016,"(75, 100]",1,1,1,32.78542,26.0573,40.6096,5.356039488,5.0,tcs-b75-n1
3,pace2016,"(100, 125]",1,3,3,59.6871333333,40.4739,80.8657,20.2674931391,3.0,tcs-b125-n1
2,pace2016,"(100, 125]",1,2,2,96.3476,35.0102,157.685,86.7441829607,2.0,jdrasil-b125-n1
3,pace2016,"(125, 150]",3,14,8,148.872966667,49.3859,254.559,102.726922624,3.0,jdrasil-b150-n1
2,pace2016,"(125, 150]",2,8,6,116.89745,84.1709,149.624,46.2823308597,2.0,tcs-b150-n1
3,pace2016,"(125, 150]",1,5,5,10.3547,10.2194,10.5652,0.184758463947,3.0,htd-b150-n1
219,transit,"(0, 25]",95,125,5,14.5747109589,2.1448,616.465,58.9753357853,219.0,tcs-b75-n1
216,transit,"(0, 25]",92,124,6,102.805029167,2.0685,6836.81,620.471045513,216.0,tcs-b100-n1
218,transit,"(0, 25]",91,119,4,74.7094027523,4.9991,2671.44,311.903207775,218.0,jdrasil-b75t1800-n1
216,transit,"(0, 25]",90,117,4,67.1287680556,4.6118,3596.94,308.739849326,216.0,jdrasil-b100-n1
218,transit,"(0, 25]",90,116,3,16.3475178899,4.6539,164.714,18.0326153286,218.0,jdrasil-b75-n1
206,transit,"(0, 25]",82,109,5,78.3206572816,2.4039,5717.96,442.312511276,206.0,tcs-b125-n1
210,transit,"(0, 25]",84,108,4,109.571134762,4.2141,5379.63,557.255105168,210.0,jdrasil-b125-n1
207,transit,"(0, 25]",81,101,4,46.8379908213,4.0906,1684.02,196.695221333,207.0,jdrasil-b150-n1
219,transit,"(0, 25]",84,99,4,6.30000684932,2.1523,34.7784,4.55135622632,219.0,tcs-b50-n1
218,transit,"(0, 25]",84,98,3,28.1954009174,5.0397,3604.4,243.431079421,218.0,jdrasil-b50-n1
202,transit,"(0, 25]",78,97,5,56.5244633663,2.2625,5802.72,418.836010538,202.0,tcs-b150-n1
213,transit,"(0, 25]",17,18,2,3.15108262911,1.1531,28.1656,2.82155182916,213.0,htd-b100-n1
213,transit,"(0, 25]",15,16,2,3.17866948357,1.3772,33.4557,3.07974209703,213.0,htd-b150-n1
210,transit,"(0, 25]",16,16,1,16.606397619,3.8432,1806.3,124.131059772,210.0,jdrasil-b25-n1
61,transit,"(25, 50]",48,150,6,179.690960656,15.7651,1239.73,273.20459772,61.0,jdrasil-b100-n1
61,transit,"(25, 50]",48,150,6,181.956891803,15.9256,1297.66,275.81180947,61.0,jdrasil-b75t1800-n1
48,transit,"(25, 50]",38,139,7,448.665564583,15.2584,2556.35,650.507805068,48.0,jdrasil-b125-n1
63,transit,"(25, 50]",45,137,7,37.937352381,8.7006,200.236,35.9860801492,63.0,tcs-b75-n1
62,transit,"(25, 50]",46,126,7,48.6473080645,13.6283,304.624,40.6559484518,62.0,jdrasil-b75-n1
46,transit,"(25, 50]",32,104,9,759.793565217,8.9958,4717.57,1250.95349182,46.0,tcs-b100-n1
39,transit,"(25, 50]",29,100,9,421.322012821,14.3252,2329.22,625.084234788,39.0,jdrasil-b150-n1
27,transit,"(25, 50]",18,43,6,1466.45856667,8.9871,6672.34,1862.15189558,27.0,tcs-b125-n1
68,transit,"(25, 50]",21,37,4,7.21212647059,2.4792,16.9218,3.4511970063,68.0,htd-b100-n1
61,transit,"(25, 50]",17,37,4,22.3256065574,10.1791,61.7618,11.5772847173,61.0,jdrasil-b50-n1
61,transit,"(25, 50]",18,25,3,15.0237180328,6.4023,31.6389,4.70903233122,61.0,tcs-b50-n1
68,transit,"(25, 50]",17,24,3,6.82113676471,2.1569,16.9619,3.21724915834,68.0,htd-b150-n1
15,transit,"(25, 50]",7,9,2,1104.89914667,9.0902,4008.61,1626.3484301,15.0,tcs-b150-n1
18,transit,"(50, 75]",14,50,9,746.428144444,15.8526,6315.92,1531.1363499,18.0,tcs-b100-n1
15,transit,"(50, 75]",14,46,9,283.381146667,33.3323,1850.28,451.981338831,15.0,jdrasil-b125-n1
16,transit,"(50, 75]",11,30,9,84.29026875,28.5105,229.737,52.4399137036,16.0,jdrasil-b75t1800-n1
10,transit,"(50, 75]",9,30,9,307.129,37.1922,1119.02,376.733958685,10.0,jdrasil-b150-n1
16,transit,"(50, 75]",10,28,8,81.69909375,31.1369,268.687,59.7115072102,16.0,jdrasil-b100-n1
8,transit,"(50, 75]",7,21,6,768.636125,16.8698,4724.17,1611.49879881,8.0,tcs-b125-n1
17,transit,"(50, 75]",7,13,3,9.53587647059,5.2537,14.1698,2.84510059851,17.0,htd-b100-n1
17,transit,"(50, 75]",6,11,2,9.35191176471,3.6681,13.6499,2.7298160446,17.0,htd-b150-n1
4,transit,"(50, 75]",3,11,5,1743.9818,16.2262,3555.74,1944.51672006,4.0,tcs-b150-n1
17,transit,"(50, 75]",4,9,3,36.4247882353,19.0933,161.925,33.6765627885,17.0,jdrasil-b75-n1
16,transit,"(50, 75]",2,4,2,32.43823125,19.7278,66.4699,13.4308530282,16.0,tcs-b75-n1
1,transit,"(75, 100]",1,5,5,128.599,128.599,128.599,,1.0,tcs-b150-n1
1,transit,"(75, 100]",1,5,5,543.403,543.403,543.403,,1.0,jdrasil-b150-n1
2,transit,"(75, 100]",1,4,4,25.4661,8.6892,42.243,23.7261195146,2.0,htd-b150-n1
141,twlib,"(0, 25]",51,83,5,136.25532766,2.5289,5834.91,625.087893816,141.0,tcs-b100-n1
143,twlib,"(0, 25]",51,80,5,141.232976923,2.1418,4606.28,698.368350966,143.0,tcs-b75-n1
150,twlib,"(0, 25]",51,73,5,30.0278173333,6.1546,924.122,86.9235020361,150.0,jdrasil-b75-n1
137,twlib,"(0, 25]",48,68,5,127.991978832,3.0507,6020.48,609.304472132,137.0,tcs-b125-n1
135,twlib,"(0, 25]",48,68,5,147.09838963,2.9803,5715.01,724.110192301,135.0,tcs-b150-n1
147,twlib,"(0, 25]",49,66,3,72.7595435374,5.8852,3716.43,358.972339349,147.0,jdrasil-b100-n1
146,twlib,"(0, 25]",48,65,3,53.6096280822,4.2298,2235.36,242.396152064,146.0,jdrasil-b75t1800-n1
149,twlib,"(0, 25]",48,64,3,20.1146731544,5.7505,1068.39,86.726740156,149.0,jdrasil-b50-n1
145,twlib,"(0, 25]",47,63,5,67.1651227586,5.892,2023.74,277.096559245,145.0,jdrasil-b125-n1
148,twlib,"(0, 25]",45,59,3,74.008047973,2.6625,3682.41,403.960730462,148.0,tcs-b50-n1
143,twlib,"(0, 25]",45,55,2,69.401493007,5.0381,5311.9,460.527570106,143.0,jdrasil-b150-n1
146,twlib,"(0, 25]",18,20,2,3.39810479452,1.2276,15.9071,2.75228126912,146.0,htd-b150-n1
