instance,benchmark_name,class,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
,,,count_nonzero,sum,amax,mean,amin,amax,std,
1b0n_graph.dimacs,twlib,atmost200,1,2,2,8.6676,8.6676,8.6676,,tcs-b75-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,10.087,10.087,10.087,,tcs-b50-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,13.0788,13.0788,13.0788,,tcs-b100-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,22.0105,22.0105,22.0105,,jdrasil-b125-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,22.9241,22.9241,22.9241,,jdrasil-b150-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,23.1367,23.1367,23.1367,,jdrasil-b50-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,24.483,24.483,24.483,,jdrasil-b75-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,25.4065,25.4065,25.4065,,jdrasil-b100-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,28.8725,28.8725,28.8725,,jdrasil-b75t1800-n1
1b8e.edge,networks,atmost200,1,5,5,14.5853,14.5853,14.5853,,tcs-b75-n1
1b8e.edge,networks,atmost200,1,5,5,40.4354,40.4354,40.4354,,jdrasil-b75-n1
1b8e.edge,networks,atmost200,1,5,5,122.677,122.677,122.677,,tcs-b125-n1
1b8e.edge,networks,atmost200,1,5,5,124.281,124.281,124.281,,tcs-b100-n1
1b8e.edge,networks,atmost200,1,5,5,133.985,133.985,133.985,,tcs-b150-n1
1bkb.edge,networks,atmost200,1,2,2,2.1501,2.1501,2.1501,,htd-b100-n1
1bkb.edge,networks,atmost200,1,2,2,2.4187,2.4187,2.4187,,htd-b150-n1
1bkb.edge,networks,atmost200,1,3,3,6.2535,6.2535,6.2535,,tcs-b150-n1
1bkb.edge,networks,atmost200,1,3,3,6.3782,6.3782,6.3782,,tcs-b125-n1
1bkb.edge,networks,atmost200,1,3,3,6.4791,6.4791,6.4791,,tcs-b50-n1
1bkb.edge,networks,atmost200,1,3,3,6.5013,6.5013,6.5013,,tcs-b75-n1
1bkb.edge,networks,atmost200,1,3,3,6.6592,6.6592,6.6592,,tcs-b100-n1
1bkb.edge,networks,atmost200,1,3,3,12.9226,12.9226,12.9226,,jdrasil-b75-n1
1bkb.edge,networks,atmost200,1,3,3,15.4376,15.4376,15.4376,,jdrasil-b75t1800-n1
1bkb.edge,networks,atmost200,1,3,3,16.8157,16.8157,16.8157,,jdrasil-b50-n1
1bkb.edge,networks,atmost200,1,3,3,17.9358,17.9358,17.9358,,jdrasil-b100-n1
1bkb.edge,networks,atmost200,1,3,3,18.7707,18.7707,18.7707,,jdrasil-b125-n1
1bkb.edge,networks,atmost200,1,3,3,20.1648,20.1648,20.1648,,jdrasil-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,1,1,2.6012,2.6012,2.6012,,htd-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,1,1,2.9853,2.9853,2.9853,,htd-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,7.3712,7.3712,7.3712,,tcs-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,7.9756,7.9756,7.9756,,tcs-b125-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,8.841,8.841,8.841,,tcs-b75-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,9.2901,9.2901,9.2901,,tcs-b50-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,9.4137,9.4137,9.4137,,tcs-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,13.4724,13.4724,13.4724,,jdrasil-b50-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,13.9962,13.9962,13.9962,,jdrasil-b125-n1
