,instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,index,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
10323,Promedas_46.edge,networks,atmost1000,34.0,35.0,1,0.0294,1.0,5696.61,tw-limprovement,tcs-b100-n1,10323,1,1.0,5695.8503,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost1000/Promedas_46.edge/run1,
14361,Promedas_47.edge,networks,atmost1000,44.0,45.0,1,0.0227,1.0,1628.13,tw-limprovement,tcs-b125-n1,14361,1,1.0,1627.3307,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b125-n1/atmost1000/Promedas_47.edge/run1,
2296,Promedas_48.edge,networks,atmost1000,44.0,55.0,11,0.25,1.0,577.311,tw-limprovement,jdrasil-b125-n1,2296,1,1.0,576.4705,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_48.edge/run1,
6288,Promedas_49.edge,networks,atmost1000,28.0,34.0,6,0.2143,1.0,1323.63,tw-limprovement,jdrasil-b150-n1,6288,1,1.0,1322.9832,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost1000/Promedas_49.edge/run1,
6316,Promedas_50.edge,networks,atmost1000,36.0,41.0,5,0.1389,1.0,3689.87,tw-limprovement,jdrasil-b150-n1,6316,1,1.0,3688.9773,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost1000/Promedas_50.edge/run1,
28741,Promedas_51.edge,networks,atmost1000,25.0,30.0,5,0.2,1.0,948.772,tw-limprovement,jdrasil-b100-n1,28741,1,1.0,947.9576,cobra,,0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b100-n1/atmost1000/Promedas_51.edge/run1,
2372,Promedas_52.edge,networks,atmost1000,,,0,0.0,,7200.12,tw-limprovement,jdrasil-b125-n1,2372,0,1.0,0.0,cobra,,33,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_52.edge/run1,
2324,Promedas_53.edge,networks,atmost1000,,,0,0.0,0.0,7200.1,tw-limprovement,jdrasil-b125-n1,2324,0,1.0,7199.4269,cobra,,1,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_53.edge/run1,
12342,Promedas_55.edge,networks,atmost1000,31.0,39.0,8,0.2581,1.0,287.52,tw-limprovement,jdrasil-b75t1800-n1,12342,1,1.0,286.9422,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost1000/Promedas_55.edge/run1,
10230,Promedas_56.edge,networks,atmost1000,29.0,37.0,8,0.2759,1.0,916.855,tw-limprovement,tcs-b100-n1,10230,1,1.0,916.1589,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost1000/Promedas_56.edge/run1,
29854,Promedas_57.edge,networks,atmost1000,35.0,43.0,8,0.2286,1.0,78.018,tw-limprovement,tcs-b75-n1,29854,1,1.0,77.4253,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b75-n1/atmost1000/Promedas_57.edge/run1,
2379,Promedas_59.edge,networks,atmost1000,23.0,30.0,7,0.3043,1.0,1115.38,tw-limprovement,jdrasil-b125-n1,2379,1,1.0,1114.4649,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_59.edge/run1,
10152,Promedas_61.edge,networks,atmost1000,35.0,40.0,5,0.1429,1.0,1304.5,tw-limprovement,tcs-b100-n1,10152,1,1.0,1303.8451,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost1000/Promedas_61.edge/run1,
2307,Promedas_62.edge,networks,atmost1000,26.0,32.0,6,0.2308,1.0,3766.92,tw-limprovement,jdrasil-b125-n1,2307,1,1.0,3765.5889,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_62.edge/run1,
12395,Promedas_63.edge,networks,atmost1000,29.0,35.0,6,0.2069,1.0,202.476,tw-limprovement,jdrasil-b75t1800-n1,12395,1,1.0,201.6271,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost1000/Promedas_63.edge/run1,
10170,Promedas_64.edge,networks,atmost1000,31.0,37.0,6,0.1935,1.0,2714.49,tw-limprovement,tcs-b100-n1,10170,1,1.0,2713.7524,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost1000/Promedas_64.edge/run1,
7537,Promedas_65.edge,networks,atmost1000,21.0,24.0,3,0.1429,1.0,25.248,tw-limprovement,jdrasil-b50-n1,7537,1,1.0,24.6903,cobra,,0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b50-n1/atmost1000/Promedas_65.edge/run1,
2351,Promedas_66.edge,networks,atmost1000,30.0,35.0,5,0.1667,1.0,2522.97,tw-limprovement,jdrasil-b125-n1,2351,1,1.0,2521.8804,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_66.edge/run1,
2316,Promedas_67.edge,networks,atmost1000,,,0,0.0,,2480.56,tw-limprovement,jdrasil-b125-n1,2316,0,1.0,0.0,cobra,,32,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_67.edge/run1,
22404,Promedas_69.edge,networks,atmost1000,22.0,29.0,7,0.3182,1.0,78.3601,tw-limprovement,jdrasil-b75-n1,22404,1,1.0,77.5744,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75-n1/atmost1000/Promedas_69.edge/run1,
14333,Promedas_70.edge,networks,atmost1000,17.0,20.0,3,0.1765,1.0,413.101,tw-limprovement,tcs-b125-n1,14333,1,1.0,412.3063,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b125-n1/atmost1000/Promedas_70.edge/run1,
2416,Promedas_71.edge,networks,atmost1000,31.0,32.0,1,0.0323,1.0,5180.87,tw-limprovement,jdrasil-b125-n1,2416,1,1.0,5179.9827,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_71.edge/run1,
14479,Promedus_12.edge,networks,atmost1000,17.0,20.0,3,0.1765,1.0,379.038,tw-limprovement,tcs-b125-n1,14479,1,1.0,378.247,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b125-n1/atmost1000/Promedus_12.edge/run1,
2390,Promedus_13.edge,networks,atmost1000,9.0,10.0,1,0.1111,1.0,14.2154,tw-limprovement,jdrasil-b125-n1,2390,1,1.0,13.3875,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedus_13.edge/run1,
2425,Promedus_16.edge,networks,atmost1000,11.0,13.0,2,0.1818,1.0,304.378,tw-limprovement,jdrasil-b125-n1,2425,1,1.0,303.5703,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedus_16.edge/run1,
6268,Promedus_17.edge,networks,atmost1000,20.0,21.0,1,0.05,1.0,1750.61,tw-limprovement,jdrasil-b150-n1,6268,1,1.0,1749.7249,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost1000/Promedus_17.edge/run1,
29734,Promedus_19.edge,networks,atmost1000,21.0,24.0,3,0.1429,1.0,241.667,tw-limprovement,tcs-b75-n1,29734,1,1.0,241.0198,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b75-n1/atmost1000/Promedus_19.edge/run1,
2342,Promedus_20.edge,networks,atmost1000,18.0,21.0,3,0.1667,1.0,460.508,tw-limprovement,jdrasil-b125-n1,2342,1,1.0,459.8908,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedus_20.edge/run1,
