instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,error,wall,wall,solver_args,run
,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amin,std,amax,mean,amax,,count
1a62_graph.dimacs,twlib,atmost200,38.0,38.0,38.0,,41.0,41.0,41.0,,1,3,3,43.5963,43.5963,43.5963,,tw-limprovement,jdrasil-b100-n1,42.8989,,0,42.8989,42.8989,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1a62_graph.dimacs,twlib,atmost200,38.0,38.0,38.0,,41.0,41.0,41.0,,1,3,3,43.6103,43.6103,43.6103,,tw-limprovement,jdrasil-b125-n1,42.5544,,0,42.5544,42.5544,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1a62_graph.dimacs,twlib,atmost200,38.0,38.0,38.0,,41.0,41.0,41.0,,1,3,3,44.2041,44.2041,44.2041,,tw-limprovement,jdrasil-b75t1800-n1,43.3491,,0,43.3491,43.3491,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",1
1a6m.edge,networks,atmost200,42.0,42.0,42.0,,45.0,45.0,45.0,,1,3,3,10.8834,10.8834,10.8834,,tw-limprovement,tcs-b75-n1,10.2669,,0,10.2669,10.2669,-w 1800 -b 75 -r 10,1
1a6m.edge,networks,atmost200,42.0,42.0,42.0,,45.0,45.0,45.0,,1,3,3,12.4437,12.4437,12.4437,,tw-limprovement,tcs-b125-n1,11.8203,,0,11.8203,11.8203,-w 1800 -b 125 -r 10,1
1a6m.edge,networks,atmost200,42.0,42.0,42.0,,45.0,45.0,45.0,,1,3,3,12.5814,12.5814,12.5814,,tw-limprovement,tcs-b100-n1,11.9139,,0,11.9139,11.9139,-w 1800 -b 100 -r 10,1
1a6m.edge,networks,atmost200,42.0,42.0,42.0,,45.0,45.0,45.0,,1,3,3,12.6319,12.6319,12.6319,,tw-limprovement,tcs-b150-n1,11.9071,,0,11.9071,11.9071,-w 1800 -b 150 -r 10,1
1a6m.edge,networks,atmost200,42.0,42.0,42.0,,45.0,45.0,45.0,,1,3,3,79.2487,79.2487,79.2487,,tw-limprovement,jdrasil-b75-n1,78.6589,,0,78.6589,78.6589,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1a6m.edge,networks,atmost200,42.0,42.0,42.0,,45.0,45.0,45.0,,1,3,3,644.472,644.472,644.472,,tw-limprovement,jdrasil-b75t1800-n1,643.6748,,0,643.6748,643.6748,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",1
1a6m.edge,networks,atmost200,42.0,42.0,42.0,,45.0,45.0,45.0,,1,3,3,662.648,662.648,662.648,,tw-limprovement,jdrasil-b100-n1,661.9042,,0,661.9042,661.9042,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
