instance,benchmark_name,class,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
,,,count_nonzero,sum,amax,mean,amin,amax,std,
1a8i.edge,networks,atmost1000,0,0,0,,,,,jdrasil-b75t90r40-n1
1a8i.edge,networks,atmost1000,1,4,4,20.5659,20.5659,20.5659,,htd-b150-n1
1a8i.edge,networks,atmost1000,1,4,4,123.841,123.841,123.841,,jdrasil-b150-n1
1aac_graph-pp.dimacs,twlib,atmost200,0,0,0,2.6634,2.6634,2.6634,,htd-b150-n1
1aac_graph-pp.dimacs,twlib,atmost200,0,0,0,2.6784,2.6784,2.6784,,htd-b100-n1
1aac_graph-pp.dimacs,twlib,atmost200,0,0,0,10.9628,10.9628,10.9628,,jdrasil-b25-n1
1aac_graph-pp.dimacs,twlib,atmost200,0,0,0,11.0571,11.0571,11.0571,,tcs-b50-n1
1aac_graph-pp.dimacs,twlib,atmost200,0,0,0,13.7892,13.7892,13.7892,,jdrasil-b50-n1
1aac_graph-pp.dimacs,twlib,atmost200,0,0,0,,,,,htd-b175-n1
1aac_graph-pp.dimacs,twlib,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,9.8156,9.8156,9.8156,,tcs-b125-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,10.2505,10.2505,10.2505,,tcs-b150-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,10.5299,10.5299,10.5299,,tcs-b75-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,12.3984,12.3984,12.3984,,jdrasil-b100-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,14.1823,14.1823,14.1823,,tcs-b100-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,14.2883,14.2883,14.2883,,jdrasil-b150-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,15.3346,15.3346,15.3346,,jdrasil-b75-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,19.5054,19.5054,19.5054,,jdrasil-b75t1800-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,25.6901,25.6901,25.6901,,jdrasil-b125-n1
1aac_graph.dimacs,twlib,atmost200,0,0,0,2.75,2.75,2.75,,htd-b150-n1
1aac_graph.dimacs,twlib,atmost200,0,0,0,3.0431,3.0431,3.0431,,htd-b100-n1
1aac_graph.dimacs,twlib,atmost200,0,0,0,9.343,9.343,9.343,,jdrasil-b25-n1
1aac_graph.dimacs,twlib,atmost200,0,0,0,11.0657,11.0657,11.0657,,jdrasil-b50-n1
1aac_graph.dimacs,twlib,atmost200,0,0,0,13.2597,13.2597,13.2597,,tcs-b50-n1
1aac_graph.dimacs,twlib,atmost200,0,0,0,,,,,htd-b175-n1
1aac_graph.dimacs,twlib,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1aac_graph.dimacs,twlib,atmost200,1,7,7,10.1055,10.1055,10.1055,,tcs-b125-n1
1aac_graph.dimacs,twlib,atmost200,1,7,7,10.4234,10.4234,10.4234,,tcs-b150-n1
1aac_graph.dimacs,twlib,atmost200,1,7,7,11.2583,11.2583,11.2583,,tcs-b75-n1
1aac_graph.dimacs,twlib,atmost200,1,7,7,11.6894,11.6894,11.6894,,tcs-b100-n1
1aac_graph.dimacs,twlib,atmost200,1,7,7,16.3336,16.3336,16.3336,,jdrasil-b75-n1
1aac_graph.dimacs,twlib,atmost200,1,7,7,17.7498,17.7498,17.7498,,jdrasil-b150-n1
1aac_graph.dimacs,twlib,atmost200,1,7,7,18.4637,18.4637,18.4637,,jdrasil-b100-n1
1aac_graph.dimacs,twlib,atmost200,1,7,7,22.5546,22.5546,22.5546,,jdrasil-b125-n1
1aac_graph.dimacs,twlib,atmost200,1,7,7,23.8374,23.8374,23.8374,,jdrasil-b75t1800-n1
1b0n_graph.dimacs,twlib,atmost200,0,0,0,8.2013,8.2013,8.2013,,jdrasil-b25-n1
1b0n_graph.dimacs,twlib,atmost200,0,0,0,,,,,htd-b175-n1
1b0n_graph.dimacs,twlib,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1b0n_graph.dimacs,twlib,atmost200,1,1,1,2.1624,2.1624,2.1624,,htd-b100-n1
1b0n_graph.dimacs,twlib,atmost200,1,1,1,3.1627,3.1627,3.1627,,htd-b150-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,8.2724,8.2724,8.2724,,tcs-b150-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,8.3453,8.3453,8.3453,,tcs-b125-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,8.6676,8.6676,8.6676,,tcs-b75-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,10.087,10.087,10.087,,tcs-b50-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,13.0788,13.0788,13.0788,,tcs-b100-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,22.0105,22.0105,22.0105,,jdrasil-b125-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,22.9241,22.9241,22.9241,,jdrasil-b150-n1
