,instance,solver_config,abs_improvement
2413,or_chain_72.fg.edge,jdrasil-b125-n1,3
10310,or_chain_76.fg.edge,tcs-b100-n1,8
10220,or_chain_78.fg.edge,tcs-b100-n1,6
2297,or_chain_80.fg.edge,jdrasil-b125-n1,11
2454,or_chain_82.fg.edge,jdrasil-b125-n1,4
2414,or_chain_86.fg.edge,jdrasil-b125-n1,0
2437,or_chain_90.fg.edge,jdrasil-b125-n1,0
22367,or_chain_91.fg.edge,jdrasil-b75-n1,4
12398,or_chain_92.fg.edge,jdrasil-b75t1800-n1,8
12425,or_chain_93.fg.edge,jdrasil-b75t1800-n1,4
22525,or_chain_94.fg.edge,jdrasil-b75-n1,6
6197,or_chain_96.fg.edge,jdrasil-b150-n1,6
2401,pedigree19.edge,jdrasil-b125-n1,2
2384,pedigree33.edge,jdrasil-b125-n1,3
2408,pedigree38.edge,jdrasil-b125-n1,0
2395,pedigree44.edge,jdrasil-b125-n1,3
2323,pedigree50.edge,jdrasil-b125-n1,1
2310,prob001.pddl.cnf.edge,jdrasil-b125-n1,0
2285,relational_1.edge,jdrasil-b125-n1,0
2207,1a6m.edge,jdrasil-b125-n1,3
10148,1b8e.edge,tcs-b100-n1,5
2245,1bkb.edge,jdrasil-b125-n1,3
2224,1c3m.edge,jdrasil-b125-n1,0
10124,1e5k.edge,tcs-b100-n1,8
2209,1et9.edge,jdrasil-b125-n1,6
10094,1f5f.edge,tcs-b100-n1,8
2281,1koi.edge,jdrasil-b125-n1,1
2169,1neu.edge,jdrasil-b125-n1,2
2246,1qto.edge,jdrasil-b125-n1,4
2253,1rec.edge,jdrasil-b125-n1,2
2196,1rfs.edge,jdrasil-b125-n1,4
2167,1rl6.edge,jdrasil-b125-n1,2
2242,2bitcomp_5.cnf.edge,jdrasil-b125-n1,0
2278,2ilk.edge,jdrasil-b125-n1,2
2184,CSP_13.edge,jdrasil-b125-n1,0
29661,Grids_11.edge,tcs-b75-n1,3
2203,Grids_12.edge,jdrasil-b125-n1,0
29601,Grids_13.edge,tcs-b75-n1,3
29614,Grids_14.edge,tcs-b75-n1,3
2208,ProteinFolding_13.edge,jdrasil-b125-n1,0
2276,ProteinFolding_16.edge,jdrasil-b125-n1,1
7428,c432.isc.cnf.edge,jdrasil-b50-n1,3
2197,grid10x10.f10.edge,jdrasil-b125-n1,0
2179,pdb1a3c.edge,jdrasil-b125-n1,0
2193,pdb1a62.edge,jdrasil-b125-n1,0
2250,pdb1ad2.edge,jdrasil-b125-n1,0
2241,pdb1alu.edge,jdrasil-b125-n1,0
2233,pdb1aly.edge,jdrasil-b125-n1,0
2185,pdb1amx.edge,jdrasil-b125-n1,0
2166,pdb1at0.edge,jdrasil-b125-n1,0
2254,pdb1atg.edge,jdrasil-b125-n1,0
2172,pdb1b2v.edge,jdrasil-b125-n1,0
2247,pdb1b8e.edge,jdrasil-b125-n1,0
2239,pdb1bd8.edge,jdrasil-b125-n1,0
2279,pdb1bgc.edge,jdrasil-b125-n1,0
2222,pdb1bkb.edge,jdrasil-b125-n1,0
2237,pdb1buo.edge,jdrasil-b125-n1,0
2223,pdb1buu.edge,jdrasil-b125-n1,0
2227,pdb1bv1.edge,jdrasil-b125-n1,0
2189,pdb1c3m.edge,jdrasil-b125-n1,0
2191,pdb1c9x.edge,jdrasil-b125-n1,0
2232,pdb1cbs.edge,jdrasil-b125-n1,0
2275,pdb1cjw.edge,jdrasil-b125-n1,0
2225,pdb1cuo.edge,jdrasil-b125-n1,0
2257,pdb1dbu.edge,jdrasil-b125-n1,0
2260,pdb1dfx.edge,jdrasil-b125-n1,0
2199,pdb1dg6.edge,jdrasil-b125-n1,0
2263,pdb1di6.edge,jdrasil-b125-n1,0
2261,pdb1dk8.edge,jdrasil-b125-n1,0
2244,pdb1dly.edge,jdrasil-b125-n1,0
2262,pdb1doi.edge,jdrasil-b125-n1,0
2266,pdb1dqg.edge,jdrasil-b125-n1,0
2249,pdb1dvo.edge,jdrasil-b125-n1,0
2177,pdb1e29.edge,jdrasil-b125-n1,0
2176,pdb1e3b.edge,jdrasil-b125-n1,0
2211,pdb1ej8.edge,jdrasil-b125-n1,0
2174,pdb1ek0.edge,jdrasil-b125-n1,0
2268,pdb1ekg.edge,jdrasil-b125-n1,0
2178,pdb1esl.edge,jdrasil-b125-n1,0
2238,pdb1euo.edge,jdrasil-b125-n1,0
2229,pdb1exr.edge,jdrasil-b125-n1,0
2182,pdb1f1e.edge,jdrasil-b125-n1,0
2210,pdb1f4p.edge,jdrasil-b125-n1,1
2168,pdb1f5f.edge,jdrasil-b125-n1,0
2180,pdb1fit.edge,jdrasil-b125-n1,0
2171,pdb1fjj.edge,jdrasil-b125-n1,0
2187,pdb1fnl.edge,jdrasil-b125-n1,1
2282,pdb1fny.edge,jdrasil-b125-n1,0
2230,pdb1g3p.edge,jdrasil-b125-n1,0
2252,pdb1h6h.edge,jdrasil-b125-n1,0
2271,pdb1h9k.edge,jdrasil-b125-n1,0
2221,pdb1hby.edge,jdrasil-b125-n1,0
2212,pdb1huw.edge,jdrasil-b125-n1,0
2270,pdb1i5g.edge,jdrasil-b125-n1,0
2258,pdb1ijt.edge,jdrasil-b125-n1,0
2202,pdb1j98.edge,jdrasil-b125-n1,2
2201,pdb1j9b.edge,jdrasil-b125-n1,0
2236,pdb1jb3.edge,jdrasil-b125-n1,0
2274,pdb1jbe.edge,jdrasil-b125-n1,0
2192,pdb1jse.edge,jdrasil-b125-n1,0
2198,pdb1kao.edge,jdrasil-b125-n1,0
2216,pdb1kgd.edge,jdrasil-b125-n1,0
2186,pdb1kid.edge,jdrasil-b125-n1,0
2283,pdb1lit.edge,jdrasil-b125-n1,0
2273,pdb1lki.edge,jdrasil-b125-n1,0
2234,pdb1msc.edge,jdrasil-b125-n1,0
2218,pdb1neu.edge,jdrasil-b125-n1,0
2190,pdb1pbv.edge,jdrasil-b125-n1,0
2204,pdb1qhq.edge,jdrasil-b125-n1,0
2264,pdb1qhv.edge,jdrasil-b125-n1,0
2240,pdb1qjp.edge,jdrasil-b125-n1,0
2243,pdb1qnt.edge,jdrasil-b125-n1,0
2251,pdb1qre.edge,jdrasil-b125-n1,0
2272,pdb1rcy.edge,jdrasil-b125-n1,0
2255,pdb1rfs.edge,jdrasil-b125-n1,0
2265,pdb1rl6.edge,jdrasil-b125-n1,0
2183,pdb1rsy.edge,jdrasil-b125-n1,0
2231,pdb1tfe.edge,jdrasil-b125-n1,2
2194,pdb1tn3.edge,jdrasil-b125-n1,0
2259,pdb1vls.edge,jdrasil-b125-n1,0
2277,pdb1vpi.edge,jdrasil-b125-n1,0
2200,pdb1wba.edge,jdrasil-b125-n1,0
2267,pdb1whi.edge,jdrasil-b125-n1,0
2181,pdb2e2c.edge,jdrasil-b125-n1,0
2213,pdb2eif.edge,jdrasil-b125-n1,0
2228,pdb2fcb.edge,jdrasil-b125-n1,0
2170,pdb2fcr.edge,jdrasil-b125-n1,0
2219,pdb2hft.edge,jdrasil-b125-n1,0
2214,pdb2i1b.edge,jdrasil-b125-n1,0
2248,pdb2ilk.edge,jdrasil-b125-n1,0
2269,pdb2lhb.edge,jdrasil-b125-n1,0
2217,pdb2tgi.edge,jdrasil-b125-n1,0
2205,pdb3nul.edge,jdrasil-b125-n1,0
2173,pdb5nul.edge,jdrasil-b125-n1,0
2220,sat-grid-pbl-0010.cnf.edge,jdrasil-b125-n1,0
2215,wcsp_13.edge,jdrasil-b125-n1,0
2195,wcsp_15.edge,jdrasil-b125-n1,0
1662,BN_71.edge,jdrasil-b125-n1,4
1678,BN_75.edge,jdrasil-b125-n1,0
5792,Grids_19.edge,jdrasil-b150-n1,14
5747,Grids_21.edge,jdrasil-b150-n1,14
5665,Grids_22.edge,jdrasil-b150-n1,14
5582,Grids_23.edge,jdrasil-b150-n1,3
5521,Grids_24.edge,jdrasil-b150-n1,3
5606,Grids_25.edge,jdrasil-b150-n1,3
5743,Grids_27.edge,jdrasil-b150-n1,3
1655,Promedas_12.edge,jdrasil-b125-n1,11
5745,Promedas_14.edge,jdrasil-b150-n1,12
1675,Promedas_16.edge,jdrasil-b125-n1,0
5603,Promedas_17.edge,jdrasil-b150-n1,17
1720,Promedas_18.edge,jdrasil-b125-n1,0
1880,Promedas_19.edge,jdrasil-b125-n1,0
5552,Promedas_20.edge,jdrasil-b150-n1,11
1707,Promedas_21.edge,jdrasil-b125-n1,0
5590,Promedas_22.edge,jdrasil-b150-n1,15
