instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,solver_args,wall,wall
count,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amax,amin,,std,mean
118,networks,atmost200,26.1153846154,9.0,65.0,15.2743626331,27.8076923077,9.0,65.0,15.8921848234,17,44,6,379.428812712,3.1116,7200.1,1586.89200196,tw-limprovement,tcs-b150-n1,7199.4219,0.0,-w 1800 -b 150 -r 10,1587.57064096,375.8719
118,networks,atmost200,29.1785714286,9.0,65.0,17.2949437514,30.5714285714,9.0,65.0,17.4789366814,15,39,5,257.467676271,5.0191,7200.12,1306.06023886,tw-limprovement,jdrasil-b75-n1,7199.585,0.0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1307.57637036,248.344732203
118,networks,atmost200,26.24,9.0,65.0,15.6239132955,27.68,9.0,65.0,16.0512720161,15,36,6,457.036188136,5.7954,7200.13,1706.63170276,tw-limprovement,jdrasil-b150-n1,7199.3644,0.0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1708.71959568,448.071220339
118,networks,atmost200,26.24,9.0,65.0,15.6239132955,27.68,9.0,65.0,16.0512720161,15,36,6,457.145235593,5.2537,7200.12,1706.87913299,tw-limprovement,jdrasil-b125-n1,7199.5373,0.0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1708.88810261,448.354647458
118,networks,atmost200,28.625,9.0,65.0,16.8460773648,29.65625,9.0,65.0,16.5151140455,15,33,4,5.42003474576,2.3025,54.3919,5.58973783902,tw-limprovement,tcs-b50-n1,53.8658,0.0,-w 1800 -b 50 -r 10,6.34609268103,2.43076101695
118,networks,atmost200,28.625,9.0,65.0,16.8460773648,29.65625,9.0,65.0,16.5151140455,15,33,4,12.8152521368,5.7466,56.3166,5.23838418545,tw-limprovement,jdrasil-b50-n1,55.7349,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",7.85111015966,4.02459576271
118,networks,atmost200,29.0,9.0,65.0,16.3529616534,29.65625,9.0,65.0,16.5151140455,11,21,3,1.87086355932,0.9775,4.5168,0.522845771358,tw-limprovement,htd-b100-n1,3.9703,0.0,-w 1800 -b 100 -r 10 -s htd_main,0.856895226452,0.459441525424
118,networks,atmost200,29.03125,9.0,65.0,16.3756002106,29.65625,9.0,65.0,16.5151140455,11,20,3,1.89258898305,0.9701,3.6124,0.500167945774,tw-limprovement,htd-b150-n1,3.0501,0.0,-w 1800 -b 150 -r 10 -s htd_main,0.824469526961,0.450874576271
118,networks,atmost200,29.5,9.0,65.0,16.6559105076,29.65625,9.0,65.0,16.5151140455,4,5,2,16.6075279661,3.8869,33.5075,6.42552523141,tw-limprovement,jdrasil-b25-n1,25.279,0.0,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",7.77518268075,4.32159576271
279,networks,atmost2000,56.1450381679,7.0,122.0,29.7052500248,60.7404580153,7.0,122.0,29.5709284957,96,602,16,3231.17666057,10.486,7200.38,3317.91366219,tw-limprovement,jdrasil-b125-n1,7199.5701,0.0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3340.67640777,3074.73707957
279,networks,atmost2000,53.0777777778,7.0,122.0,28.0636657587,56.2888888889,7.0,122.0,26.9509152194,115,578,13,1889.41119534,10.0096,7200.15,2952.96321935,tw-limprovement,jdrasil-b75t1800-n1,7199.5493,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",2961.40744909,1874.22237455
279,networks,atmost2000,52.6888888889,7.0,122.0,31.9024652791,58.8888888889,7.0,122.0,34.6917224348,76,558,20,4642.15520108,8.3054,7200.17,3183.66447057,tw-limprovement,jdrasil-b150-n1,7199.5674,0.0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3347.73770568,4155.41788638
279,networks,atmost2000,54.3470588235,7.0,122.0,28.3359519821,57.4470588235,7.0,122.0,27.2238174013,105,527,13,1971.97316093,12.8274,7200.15,3044.86600859,tw-limprovement,jdrasil-b100-n1,7199.5704,0.0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3053.16902452,1957.33970251
279,networks,atmost2000,47.6303317536,7.0,203.0,30.3314362994,50.1232227488,7.0,203.0,29.8914541226,141,526,15,1417.57987446,5.8847,7200.13,2210.77662038,tw-limprovement,tcs-b100-n1,7199.5579,0.0,-w 1800 -b 100 -r 10,2170.73944124,1298.38356237
279,networks,atmost2000,46.9411764706,7.0,122.0,28.0888566333,48.4537815126,7.0,122.0,27.2886579116,133,360,10,95.036897482,13.226,907.082,129.922604756,tw-limprovement,jdrasil-b75-n1,906.0167,0.0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",132.395477962,88.6820064516
279,networks,atmost2000,47.4978540773,7.0,122.0,28.1394502286,48.7339055794,7.0,122.0,27.4362507292,122,288,11,394.408967742,5.9237,7200.2,1130.34924969,tw-limprovement,tcs-b75-n1,7199.614,0.0,-w 1800 -b 75 -r 10,1131.70834529,389.674246953
279,networks,atmost2000,52.83,7.0,122.0,35.7511192168,54.84,7.0,122.0,35.8097441736,66,201,19,4497.20143369,6.367,7200.18,3279.29054278,tw-limprovement,tcs-b125-n1,7199.4849,0.0,-w 1800 -b 125 -r 10,3412.92645449,3919.12175269
279,networks,atmost2000,47.7945205479,7.0,122.0,37.4295482296,49.6849315068,7.0,122.0,37.8079491613,56,138,11,5328.09122545,6.2172,7200.13,2989.04619956,tw-limprovement,tcs-b150-n1,7199.5209,0.0,-w 1800 -b 150 -r 10,3332.49125837,4613.47359534
279,networks,atmost2000,47.8368200837,7.0,122.0,27.4203687389,48.3974895397,7.0,122.0,27.245170607,90,134,6,9.14219354839,3.5835,27.7129,3.78937981725,tw-limprovement,htd-b150-n1,27.117,0.0,-w 1800 -b 150 -r 10 -s htd_main,4.54972422408,7.17868637993
279,networks,atmost2000,48.050209205,7.0,122.0,27.4626864876,48.3974895397,7.0,122.0,27.245170607,59,83,5,9.25953082437,3.1221,27.5185,3.40720391415,tw-limprovement,htd-b100-n1,26.9601,0.0,-w 1800 -b 100 -r 10 -s htd_main,4.30231544575,7.31404014337
279,networks,atmost2000,48.7291666667,7.0,203.0,29.2416991643,49.0416666667,7.0,203.0,28.9617828785,51,75,4,23.6617637993,10.5847,106.84,10.5489418062,tw-limprovement,jdrasil-b50-n1,106.1076,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",11.8443745547,19.1031985663
279,networks,atmost2000,49.2435897436,7.0,203.0,29.3245210334,49.3931623932,7.0,203.0,29.175643103,31,35,2,230.65378638,5.6124,7200.1,1153.24448052,tw-limprovement,tcs-b50-n1,7199.5724,0.0,-w 1800 -b 50 -r 10,1075.33452131,199.857673477
279,networks,atmost2000,49.0375,7.0,203.0,28.9661945873,49.0416666667,7.0,203.0,28.9617828785,1,1,1,18.1331354839,8.7792,108.189,9.6373383728,tw-limprovement,jdrasil-b25-n1,107.5701,0.0,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",9.57910659735,14.3985577061
210,networks,atmost500,17.2824858757,2.0,125.0,17.1304944249,17.7966101695,2.0,125.0,17.6185397519,38,91,9,207.714423333,4.6001,7200.14,1099.00566565,tw-limprovement,jdrasil-b100-n1,7199.541,0.0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",704.625314437,99.5188285714
210,networks,atmost500,17.2215909091,2.0,125.0,17.160146179,17.7386363636,2.0,125.0,17.651867934,38,91,9,236.71468,5.1223,7200.12,1199.08641002,tw-limprovement,jdrasil-b75t1800-n1,7199.3174,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",856.006945202,128.591809048
