instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,solver_args,wall,wall
count,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amax,amin,,std,mean
180,networks,atmost1000,36.5283018868,9.0,250.0,29.2078564341,37.0943396226,9.0,250.0,29.3203157746,51,90,9,5.30337666667,1.7257,50.7623,4.71705470402,tw-limprovement,htd-b150-n1,49.7743,0.0,-w 1800 -b 150 -r 10 -s htd_main,4.89212742947,4.27140722222
180,networks,atmost1000,36.296875,9.0,250.0,44.6669082039,37.484375,9.0,250.0,44.6862047487,37,76,7,4718.80901222,4.8269,7200.14,3278.44020099,tw-limprovement,tcs-b125-n1,7199.5462,0.0,-w 1800 -b 125 -r 10,3451.86150167,4018.94057056
180,networks,atmost1000,35.8363636364,9.0,250.0,47.346541051,37.0727272727,9.0,250.0,47.6654446407,29,68,14,5051.38217389,4.5646,7200.11,3212.85752825,tw-limprovement,tcs-b150-n1,7199.5287,0.0,-w 1800 -b 150 -r 10,3458.28019604,4290.64834
180,networks,atmost1000,36.679245283,9.0,250.0,29.5464279052,37.0943396226,9.0,250.0,29.3203157746,42,66,4,18.1130611111,3.8488,360.653,34.1643235971,tw-limprovement,tcs-b50-n1,360.0778,0.0,-w 1800 -b 50 -r 10,34.3590525645,15.8208944444
180,networks,atmost1000,36.748427673,9.0,250.0,29.3770703129,37.0943396226,9.0,250.0,29.3203157746,34,55,4,5.64132722222,1.7932,50.2001,4.56832376709,tw-limprovement,htd-b100-n1,49.5682,0.0,-w 1800 -b 100 -r 10 -s htd_main,4.79509605867,4.539365
180,networks,atmost1000,37.0817610063,9.0,250.0,29.3309290581,37.0943396226,9.0,250.0,29.3203157746,2,2,1,14.8087255556,5.988,84.441,8.03227002277,tw-limprovement,jdrasil-b25-n1,83.8868,0.0,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",9.15137340103,12.8430116667
180,networks,atmost1000,,,,,,,,,0,0,0,,,,,tw-limprovement,htd-b175-n1,0.0,0.0,-w 1800 -b 75 -r 10 -s htd_main,0.0,0.0
180,networks,atmost1000,,,,,,,,,0,0,0,,,,,tw-limprovement,jdrasil-b75t90r40-n1,0.0,0.0,"-w 180 -b 100 -r 10 -s jdrasil -a '"" -log -t 90 -e PBLib_incremental ""'",0.0,0.0
118,networks,atmost200,27.8928571429,9.0,65.0,16.0838987482,30.0357142857,9.0,65.0,17.3450433583,19,60,8,252.392733051,2.6213,7200.1,1307.08933357,tw-limprovement,tcs-b100-n1,7199.5353,0.0,-w 1800 -b 100 -r 10,1307.61648377,249.025938983
118,networks,atmost200,27.5483870968,9.0,65.0,16.3866586175,29.2580645161,9.0,65.0,16.6312311469,20,53,5,66.8970754237,2.7334,7200.1,662.306706872,tw-limprovement,tcs-b75-n1,7199.5493,0.0,-w 1800 -b 75 -r 10,662.545011054,63.8743855932
118,networks,atmost200,28.3703703704,9.0,65.0,16.8777234797,30.0,9.0,65.0,17.5433528942,16,44,6,334.350516102,4.4326,7200.11,1455.89136689,tw-limprovement,jdrasil-b75t1800-n1,7199.4236,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",1457.50714025,326.039244915
118,networks,atmost200,28.3703703704,9.0,65.0,16.8777234797,30.0,9.0,65.0,17.5433528942,16,44,6,335.625973729,4.6221,7200.11,1455.79951424,tw-limprovement,jdrasil-b100-n1,7199.4065,0.0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1457.56101219,326.618948305
118,networks,atmost200,26.1153846154,9.0,65.0,15.2743626331,27.8076923077,9.0,65.0,15.8921848234,17,44,6,378.649016102,2.5344,7200.11,1586.84753832,tw-limprovement,tcs-b125-n1,7199.462,0.0,-w 1800 -b 125 -r 10,1587.48864499,375.255478814
118,networks,atmost200,26.1153846154,9.0,65.0,15.2743626331,27.8076923077,9.0,65.0,15.8921848234,17,44,6,379.428812712,3.1116,7200.1,1586.89200196,tw-limprovement,tcs-b150-n1,7199.4219,0.0,-w 1800 -b 150 -r 10,1587.57064096,375.8719
118,networks,atmost200,29.1785714286,9.0,65.0,17.2949437514,30.5714285714,9.0,65.0,17.4789366814,15,39,5,257.467676271,5.0191,7200.12,1306.06023886,tw-limprovement,jdrasil-b75-n1,7199.585,0.0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1307.57637036,248.344732203
