,instance,solver_config,abs_improvement
7673,or_chain_48.fg.edge,jdrasil-b50-n1,3
10154,or_chain_50.fg.edge,tcs-b100-n1,5
29859,or_chain_53.fg.edge,tcs-b75-n1,5
2328,or_chain_62.fg.edge,jdrasil-b125-n1,1
29726,or_chain_63.fg.edge,tcs-b75-n1,8
12405,or_chain_66.fg.edge,jdrasil-b75t1800-n1,7
29714,or_chain_68.fg.edge,tcs-b75-n1,3
2413,or_chain_72.fg.edge,jdrasil-b125-n1,3
10310,or_chain_76.fg.edge,tcs-b100-n1,8
10220,or_chain_78.fg.edge,tcs-b100-n1,6
2297,or_chain_80.fg.edge,jdrasil-b125-n1,11
2454,or_chain_82.fg.edge,jdrasil-b125-n1,4
22367,or_chain_91.fg.edge,jdrasil-b75-n1,4
12398,or_chain_92.fg.edge,jdrasil-b75t1800-n1,8
12425,or_chain_93.fg.edge,jdrasil-b75t1800-n1,4
22525,or_chain_94.fg.edge,jdrasil-b75-n1,6
6197,or_chain_96.fg.edge,jdrasil-b150-n1,6
2401,pedigree19.edge,jdrasil-b125-n1,2
2384,pedigree33.edge,jdrasil-b125-n1,3
2395,pedigree44.edge,jdrasil-b125-n1,3
2323,pedigree50.edge,jdrasil-b125-n1,1
2207,1a6m.edge,jdrasil-b125-n1,3
10148,1b8e.edge,tcs-b100-n1,5
2245,1bkb.edge,jdrasil-b125-n1,3
10124,1e5k.edge,tcs-b100-n1,8
2209,1et9.edge,jdrasil-b125-n1,6
10094,1f5f.edge,tcs-b100-n1,8
2281,1koi.edge,jdrasil-b125-n1,1
2169,1neu.edge,jdrasil-b125-n1,2
2246,1qto.edge,jdrasil-b125-n1,4
2253,1rec.edge,jdrasil-b125-n1,2
2196,1rfs.edge,jdrasil-b125-n1,4
2167,1rl6.edge,jdrasil-b125-n1,2
2278,2ilk.edge,jdrasil-b125-n1,2
29661,Grids_11.edge,tcs-b75-n1,3
29601,Grids_13.edge,tcs-b75-n1,3
29614,Grids_14.edge,tcs-b75-n1,3
2276,ProteinFolding_16.edge,jdrasil-b125-n1,1
7428,c432.isc.cnf.edge,jdrasil-b50-n1,3
2210,pdb1f4p.edge,jdrasil-b125-n1,1
2187,pdb1fnl.edge,jdrasil-b125-n1,1
2202,pdb1j98.edge,jdrasil-b125-n1,2
2231,pdb1tfe.edge,jdrasil-b125-n1,2
1662,BN_71.edge,jdrasil-b125-n1,4
5792,Grids_19.edge,jdrasil-b150-n1,14
5747,Grids_21.edge,jdrasil-b150-n1,14
5665,Grids_22.edge,jdrasil-b150-n1,14
5582,Grids_23.edge,jdrasil-b150-n1,3
5521,Grids_24.edge,jdrasil-b150-n1,3
5606,Grids_25.edge,jdrasil-b150-n1,3
5743,Grids_27.edge,jdrasil-b150-n1,3
1655,Promedas_12.edge,jdrasil-b125-n1,11
5745,Promedas_14.edge,jdrasil-b150-n1,12
5603,Promedas_17.edge,jdrasil-b150-n1,17
5552,Promedas_20.edge,jdrasil-b150-n1,11
5590,Promedas_22.edge,jdrasil-b150-n1,15
5725,Promedas_23.edge,jdrasil-b150-n1,17
9587,Promedas_24.edge,tcs-b100-n1,8
1664,Promedas_25.edge,jdrasil-b125-n1,11
1899,Promedas_27.edge,jdrasil-b125-n1,8
1871,Promedas_29.edge,jdrasil-b125-n1,6
1836,Promedas_30.edge,jdrasil-b125-n1,13
1666,Promedas_31.edge,jdrasil-b125-n1,14
29237,Promedas_33.edge,tcs-b75-n1,7
1798,Promedas_34.edge,jdrasil-b125-n1,13
29206,Promedas_35.edge,tcs-b75-n1,11
9563,Promedas_36.edge,tcs-b100-n1,9
1693,Promedas_37.edge,jdrasil-b125-n1,11
9678,Promedas_38.edge,tcs-b100-n1,6
1733,Promedas_39.edge,jdrasil-b125-n1,12
11743,Promedas_40.edge,jdrasil-b75t1800-n1,12
11774,Promedas_54.edge,jdrasil-b75t1800-n1,6
11762,Promedas_58.edge,jdrasil-b75t1800-n1,9
5750,Promedas_60.edge,jdrasil-b150-n1,3
11815,Promedas_68.edge,jdrasil-b75t1800-n1,6
1771,Promedus_25.edge,jdrasil-b125-n1,2
11675,Promedus_37.edge,jdrasil-b75t1800-n1,3
1875,blockmap_05_03-0000.edge,jdrasil-b125-n1,1
1887,blockmap_05_03-0001.edge,jdrasil-b125-n1,1
1668,blockmap_05_03-0002.edge,jdrasil-b125-n1,1
1751,blockmap_05_03-0003.edge,jdrasil-b125-n1,1
1793,blockmap_05_03-0004.edge,jdrasil-b125-n1,1
1709,blockmap_05_03-0005.edge,jdrasil-b125-n1,1
1882,blockmap_05_03-0006.edge,jdrasil-b125-n1,1
1842,blockmap_05_03-0007.edge,jdrasil-b125-n1,1
1872,blockmap_05_03-0008.edge,jdrasil-b125-n1,1
1783,blockmap_05_03-0009.edge,jdrasil-b125-n1,1
1735,blockmap_05_03-0010.edge,jdrasil-b125-n1,1
1844,blockmap_05_03-0011.edge,jdrasil-b125-n1,1
1792,blockmap_05_03-0012.edge,jdrasil-b125-n1,1
1756,blockmap_05_03-0013.edge,jdrasil-b125-n1,1
1762,blockmap_05_03-0014.edge,jdrasil-b125-n1,1
1820,blockmap_05_03-0015.edge,jdrasil-b125-n1,1
5756,fs-07.edge,jdrasil-b150-n1,2
9602,linkage_12.edge,tcs-b100-n1,2
6906,linkage_13.edge,jdrasil-b50-n1,3
1863,linkage_15.edge,jdrasil-b125-n1,5
1853,linkage_23.edge,jdrasil-b125-n1,1
1884,linkage_24.edge,jdrasil-b125-n1,2
9720,linkage_25.edge,tcs-b100-n1,5
9776,mastermind_03_08_03-0000.edge,tcs-b100-n1,1
9579,mastermind_03_08_03-0001.edge,tcs-b100-n1,1
9653,mastermind_03_08_03-0002.edge,tcs-b100-n1,1
6952,mastermind_03_08_03-0003.edge,jdrasil-b50-n1,1
9593,mastermind_03_08_03-0004.edge,tcs-b100-n1,2
9620,mastermind_03_08_03-0005.edge,tcs-b100-n1,1
9636,mastermind_03_08_03-0006.edge,tcs-b100-n1,2
9768,mastermind_03_08_03-0007.edge,tcs-b100-n1,1
9655,mastermind_03_08_03-0008.edge,tcs-b100-n1,1
9741,mastermind_03_08_03-0009.edge,tcs-b100-n1,1
9703,mastermind_03_08_03-0010.edge,tcs-b100-n1,2
9757,mastermind_03_08_03-0011.edge,tcs-b100-n1,1
9674,mastermind_03_08_03-0012.edge,tcs-b100-n1,1
9600,mastermind_03_08_03-0013.edge,tcs-b100-n1,1
9559,mastermind_03_08_03-0014.edge,tcs-b100-n1,1
9605,mastermind_03_08_03-0015.edge,tcs-b100-n1,1
21857,mastermind_04_08_03-0000.edge,jdrasil-b75-n1,3
6982,mastermind_04_08_03-0001.edge,jdrasil-b50-n1,2
9782,mastermind_04_08_03-0002.edge,tcs-b100-n1,2
21800,mastermind_04_08_03-0003.edge,jdrasil-b75-n1,2
9526,mastermind_04_08_03-0004.edge,tcs-b100-n1,3
21876,mastermind_04_08_03-0005.edge,jdrasil-b75-n1,3
6887,mastermind_04_08_03-0006.edge,jdrasil-b50-n1,1
7145,mastermind_04_08_03-0007.edge,jdrasil-b50-n1,3
21999,mastermind_04_08_03-0008.edge,jdrasil-b75-n1,2
7065,mastermind_04_08_03-0009.edge,jdrasil-b50-n1,1
21749,mastermind_04_08_03-0010.edge,jdrasil-b75-n1,2
21805,mastermind_04_08_03-0011.edge,jdrasil-b75-n1,3
21743,mastermind_04_08_03-0012.edge,jdrasil-b75-n1,3
21966,mastermind_04_08_03-0013.edge,jdrasil-b75-n1,3
9631,mastermind_04_08_03-0014.edge,tcs-b100-n1,3
9643,mastermind_04_08_03-0015.edge,tcs-b100-n1,3
9644,mastermind_05_08_03-0000.edge,tcs-b100-n1,2
21998,mastermind_05_08_03-0001.edge,jdrasil-b75-n1,2
21791,mastermind_05_08_03-0002.edge,jdrasil-b75-n1,2
21877,mastermind_05_08_03-0003.edge,jdrasil-b75-n1,2
20319,mastermind_05_08_03-0004.edge,htd-b150-n1,1
21916,mastermind_05_08_03-0005.edge,jdrasil-b75-n1,2
21822,mastermind_05_08_03-0006.edge,jdrasil-b75-n1,2
21984,mastermind_05_08_03-0007.edge,jdrasil-b75-n1,2
21817,mastermind_05_08_03-0008.edge,jdrasil-b75-n1,1
21898,mastermind_05_08_03-0009.edge,jdrasil-b75-n1,1
21736,mastermind_05_08_03-0010.edge,jdrasil-b75-n1,2
21936,mastermind_05_08_03-0011.edge,jdrasil-b75-n1,2
21855,mastermind_05_08_03-0012.edge,jdrasil-b75-n1,1
21826,mastermind_05_08_03-0013.edge,jdrasil-b75-n1,2
20274,mastermind_05_08_03-0014.edge,htd-b150-n1,2
21980,mastermind_05_08_03-0015.edge,jdrasil-b75-n1,2
21871,mastermind_06_08_03-0000.edge,jdrasil-b75-n1,4
11786,mastermind_06_08_03-0001.edge,jdrasil-b75t1800-n1,2
9632,mastermind_06_08_03-0003.edge,tcs-b100-n1,3
9629,mastermind_06_08_03-0004.edge,tcs-b100-n1,3
9713,mastermind_06_08_03-0005.edge,tcs-b100-n1,3
9696,mastermind_06_08_03-0006.edge,tcs-b100-n1,2
21866,mastermind_06_08_03-0007.edge,jdrasil-b75-n1,2
21729,mastermind_06_08_03-0008.edge,jdrasil-b75-n1,2
9787,mastermind_06_08_03-0009.edge,tcs-b100-n1,1
21960,mastermind_06_08_03-0010.edge,jdrasil-b75-n1,2
9707,mastermind_06_08_03-0011.edge,tcs-b100-n1,1
7048,mastermind_06_08_03-0012.edge,jdrasil-b50-n1,1
21978,mastermind_06_08_03-0013.edge,jdrasil-b75-n1,2
9769,mastermind_06_08_03-0014.edge,tcs-b100-n1,3
21996,mastermind_06_08_03-0015.edge,jdrasil-b75-n1,2
11894,or_chain_100.fg.edge,jdrasil-b75t1800-n1,11
