instance,benchmark_name,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,solved,time,time,time,time,solver,solver_config,wall,tw_range,wall,wall,wall,wall,solver_args
count,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,sum,mean,amin,amax,std,,,amin,,std,sum,mean,amax,
229,networks,35.4410480349,26.0,50.0,6.96811477074,38.1746724891,27.0,54.0,6.96136364327,175,626,10,229.0,73.7477366812,10.7369,311.831,49.4353953521,tw-limprovement,jdrasil-b75-n1,10.117,"(25, 50]",49.4152451343,16710.0628,72.9697065502,311.2951,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
228,networks,35.7061403509,26.0,50.0,7.2267587081,37.9473684211,27.0,51.0,7.04590624451,153,511,11,228.0,239.649572807,6.9397,3060.3,548.271971398,tw-limprovement,tcs-b75-n1,6.4025,"(25, 50]",548.265433728,54493.8799,239.008245175,3059.6539,-w 1800 -b 75 -r 10
113,networks,35.9026548673,26.0,50.0,7.0987481313,40.2743362832,27.0,63.0,8.78030241467,102,494,15,113.0,1279.68270354,11.7971,6368.49,1396.33907455,tw-limprovement,jdrasil-b125-n1,10.9979,"(25, 50]",1396.32496506,144509.7891,1278.84769115,6367.6027,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
50,networks,34.8,26.0,49.0,6.49646685766,38.98,27.0,56.0,7.45459726666,45,209,10,50.0,1144.792114,13.1122,5012.22,1449.32665139,tw-limprovement,jdrasil-b150-n1,12.2652,"(25, 50]",1449.33689366,57198.8859,1143.977718,5011.5935,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
253,networks,36.2411067194,26.0,50.0,7.41253027781,36.9169960474,26.0,51.0,7.32934331848,103,171,5,253.0,9.40969288538,1.5733,30.4158,7.29332105521,tw-limprovement,htd-b150-n1,0.974,"(25, 50]",7.29705750679,2223.0488,8.7867541502,29.8515,-w 1800 -b 150 -r 10 -s htd_main
253,networks,36.3794466403,26.0,50.0,7.49962250969,36.9011857708,26.0,51.0,7.34699205384,78,132,5,253.0,9.71577233202,1.5907,33.9097,7.22498019007,tw-limprovement,htd-b100-n1,0.9688,"(25, 50]",7.21931492423,2302.6686,9.101456917,33.3696,-w 1800 -b 100 -r 10 -s htd_main
60,networks,38.7,27.0,50.0,7.18119011901,40.4166666667,27.0,55.0,7.60528733712,38,103,9,60.0,2022.53428167,6.291,6656.79,2001.51723934,tw-limprovement,tcs-b125-n1,5.7399,"(25, 50]",2001.49975102,121308.7833,2021.813055,6656.0544,-w 1800 -b 125 -r 10
284,networks,38.6232394366,26.0,50.0,7.27177772669,38.8697183099,27.0,50.0,7.02297581654,43,70,4,284.0,32.9384704225,8.9072,105.947,25.689452149,tw-limprovement,jdrasil-b50-n1,8.2773,"(25, 50]",25.6862730186,9121.8161,32.1190707746,105.3942,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
27,networks,37.7777777778,27.0,48.0,7.30823209882,39.9259259259,27.0,55.0,7.56980807564,17,58,7,27.0,1447.45237407,6.3341,7082.04,2377.79715723,tw-limprovement,tcs-b150-n1,5.72,"(25, 50]",2377.76799137,39061.2463,1446.71282593,7081.2549,-w 1800 -b 150 -r 10
276,networks,38.6123188406,26.0,50.0,7.23916572691,38.7246376812,26.0,50.0,7.10724917091,21,31,4,276.0,89.7793177536,7.3574,3279.82,360.511477895,tw-limprovement,tcs-b50-n1,6.7943,"(25, 50]",360.502222784,24604.9595,89.1484039855,3279.2248,-w 1800 -b 50 -r 10
