,instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,index,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
12342,Promedas_55.edge,networks,atmost1000,31.0,39.0,8,0.2581,1.0,287.52,tw-limprovement,jdrasil-b75t1800-n1,12342,1,1.0,286.9422,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost1000/Promedas_55.edge/run1,
10230,Promedas_56.edge,networks,atmost1000,29.0,37.0,8,0.2759,1.0,916.855,tw-limprovement,tcs-b100-n1,10230,1,1.0,916.1589,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost1000/Promedas_56.edge/run1,
29854,Promedas_57.edge,networks,atmost1000,35.0,43.0,8,0.2286,1.0,78.018,tw-limprovement,tcs-b75-n1,29854,1,1.0,77.4253,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b75-n1/atmost1000/Promedas_57.edge/run1,
2379,Promedas_59.edge,networks,atmost1000,23.0,30.0,7,0.3043,1.0,1115.38,tw-limprovement,jdrasil-b125-n1,2379,1,1.0,1114.4649,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_59.edge/run1,
10152,Promedas_61.edge,networks,atmost1000,35.0,40.0,5,0.1429,1.0,1304.5,tw-limprovement,tcs-b100-n1,10152,1,1.0,1303.8451,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost1000/Promedas_61.edge/run1,
2307,Promedas_62.edge,networks,atmost1000,26.0,32.0,6,0.2308,1.0,3766.92,tw-limprovement,jdrasil-b125-n1,2307,1,1.0,3765.5889,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_62.edge/run1,
12395,Promedas_63.edge,networks,atmost1000,29.0,35.0,6,0.2069,1.0,202.476,tw-limprovement,jdrasil-b75t1800-n1,12395,1,1.0,201.6271,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost1000/Promedas_63.edge/run1,
10170,Promedas_64.edge,networks,atmost1000,31.0,37.0,6,0.1935,1.0,2714.49,tw-limprovement,tcs-b100-n1,10170,1,1.0,2713.7524,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost1000/Promedas_64.edge/run1,
7537,Promedas_65.edge,networks,atmost1000,21.0,24.0,3,0.1429,1.0,25.248,tw-limprovement,jdrasil-b50-n1,7537,1,1.0,24.6903,cobra,,0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b50-n1/atmost1000/Promedas_65.edge/run1,
2351,Promedas_66.edge,networks,atmost1000,30.0,35.0,5,0.1667,1.0,2522.97,tw-limprovement,jdrasil-b125-n1,2351,1,1.0,2521.8804,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_66.edge/run1,
22404,Promedas_69.edge,networks,atmost1000,22.0,29.0,7,0.3182,1.0,78.3601,tw-limprovement,jdrasil-b75-n1,22404,1,1.0,77.5744,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75-n1/atmost1000/Promedas_69.edge/run1,
14333,Promedas_70.edge,networks,atmost1000,17.0,20.0,3,0.1765,1.0,413.101,tw-limprovement,tcs-b125-n1,14333,1,1.0,412.3063,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b125-n1/atmost1000/Promedas_70.edge/run1,
2416,Promedas_71.edge,networks,atmost1000,31.0,32.0,1,0.0323,1.0,5180.87,tw-limprovement,jdrasil-b125-n1,2416,1,1.0,5179.9827,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_71.edge/run1,
14479,Promedus_12.edge,networks,atmost1000,17.0,20.0,3,0.1765,1.0,379.038,tw-limprovement,tcs-b125-n1,14479,1,1.0,378.247,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b125-n1/atmost1000/Promedus_12.edge/run1,
2390,Promedus_13.edge,networks,atmost1000,9.0,10.0,1,0.1111,1.0,14.2154,tw-limprovement,jdrasil-b125-n1,2390,1,1.0,13.3875,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedus_13.edge/run1,
