instance,benchmark_name,class,abs_improvement,time,solved,solver_config
1bkb.edge,networks,atmost200,3,6.3782,1.0,tcs-b125-n1
1bkb.edge,networks,atmost200,3,6.4791,1.0,tcs-b50-n1
1bkb.edge,networks,atmost200,3,6.5013,1.0,tcs-b75-n1
1bkb.edge,networks,atmost200,3,6.6592,1.0,tcs-b100-n1
1bkb.edge,networks,atmost200,3,12.9226,1.0,jdrasil-b75-n1
1bkb.edge,networks,atmost200,3,15.4376,1.0,jdrasil-b75t1800-n1
1bkb.edge,networks,atmost200,3,16.8157,1.0,jdrasil-b50-n1
1bkb.edge,networks,atmost200,3,17.9358,1.0,jdrasil-b100-n1
1bkb.edge,networks,atmost200,3,18.7707,1.0,jdrasil-b125-n1
1bkb.edge,networks,atmost200,3,20.1648,1.0,jdrasil-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,2.6012,1.0,htd-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,2.9853,1.0,htd-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,7.3712,1.0,tcs-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,7.9756,1.0,tcs-b125-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,8.841,1.0,tcs-b75-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,9.2901,1.0,tcs-b50-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,9.4137,1.0,tcs-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,13.4724,1.0,jdrasil-b50-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,13.9962,1.0,jdrasil-b125-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,15.1534,1.0,jdrasil-b75t1800-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,16.996,1.0,jdrasil-b75-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,17.2014,1.0,jdrasil-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,19.4012,1.0,jdrasil-b150-n1
1bkb_graph.dimacs,twlib,atmost200,1,2.6535,1.0,htd-b100-n1
1bkb_graph.dimacs,twlib,atmost200,1,2.7077,1.0,htd-b150-n1
1bkb_graph.dimacs,twlib,atmost200,3,7.6408,1.0,tcs-b150-n1
1bkb_graph.dimacs,twlib,atmost200,3,8.1865,1.0,tcs-b125-n1
1bkb_graph.dimacs,twlib,atmost200,3,8.2617,1.0,tcs-b50-n1
1bkb_graph.dimacs,twlib,atmost200,3,8.7264,1.0,tcs-b100-n1
1bkb_graph.dimacs,twlib,atmost200,3,9.979,1.0,tcs-b75-n1
1bkb_graph.dimacs,twlib,atmost200,3,13.7468,1.0,jdrasil-b50-n1
1bkb_graph.dimacs,twlib,atmost200,3,16.1797,1.0,jdrasil-b75-n1
1bkb_graph.dimacs,twlib,atmost200,3,16.5315,1.0,jdrasil-b150-n1
1bkb_graph.dimacs,twlib,atmost200,3,18.684,1.0,jdrasil-b125-n1
1bkb_graph.dimacs,twlib,atmost200,3,19.9901,1.0,jdrasil-b75t1800-n1
1bkb_graph.dimacs,twlib,atmost200,3,21.7046,1.0,jdrasil-b100-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,7.8585,1.0,tcs-b100-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,7.927,1.0,tcs-b125-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,8.5294,1.0,tcs-b150-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,8.8883,1.0,tcs-b75-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,9.9614,1.0,tcs-b50-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,11.6141,1.0,jdrasil-b75-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,13.8442,1.0,jdrasil-b50-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,15.3656,1.0,jdrasil-b150-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,16.6688,1.0,jdrasil-b125-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,19.3514,1.0,jdrasil-b75t1800-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,20.4174,1.0,jdrasil-b100-n1
1bkf_graph.dimacs,twlib,atmost200,2,8.0775,1.0,tcs-b150-n1
1bkf_graph.dimacs,twlib,atmost200,2,8.1711,1.0,tcs-b125-n1
1bkf_graph.dimacs,twlib,atmost200,2,9.8327,1.0,tcs-b50-n1
1bkf_graph.dimacs,twlib,atmost200,2,10.0117,1.0,tcs-b75-n1
1bkf_graph.dimacs,twlib,atmost200,2,11.5421,1.0,tcs-b100-n1
1bkf_graph.dimacs,twlib,atmost200,2,13.0929,1.0,jdrasil-b50-n1
1bkf_graph.dimacs,twlib,atmost200,2,15.8367,1.0,jdrasil-b75-n1
1bkf_graph.dimacs,twlib,atmost200,2,17.1225,1.0,jdrasil-b75t1800-n1
1bkf_graph.dimacs,twlib,atmost200,2,18.3855,1.0,jdrasil-b100-n1
1bkf_graph.dimacs,twlib,atmost200,2,21.2054,1.0,jdrasil-b125-n1
1bkf_graph.dimacs,twlib,atmost200,2,22.04,1.0,jdrasil-b150-n1
1bkr_graph.dimacs,twlib,atmost200,11,2106.78,1.0,jdrasil-b75t1800-n1
1bkr_graph.dimacs,twlib,atmost200,11,5298.89,1.0,jdrasil-b100-n1
1bkr_graph.dimacs,twlib,atmost200,12,28.1745,1.0,tcs-b75-n1
1bkr_graph.dimacs,twlib,atmost200,12,37.0925,1.0,jdrasil-b75-n1
1bkr_graph.dimacs,twlib,atmost200,12,1296.69,1.0,tcs-b100-n1
1cb6.edge,networks,atmost1000,3,135.588,1.0,tcs-b125-n1
1cb6.edge,networks,atmost1000,3,406.225,1.0,jdrasil-b125-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,3.7493,1.0,htd-b100-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,4.3771,1.0,htd-b150-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,10.3809,1.0,tcs-b100-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,10.4609,1.0,tcs-b125-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,10.7092,1.0,tcs-b150-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,11.0331,1.0,jdrasil-b100-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,12.1801,1.0,jdrasil-b75-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,12.637,1.0,jdrasil-b150-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,13.2326,1.0,tcs-b75-n1
